title,status,latitude,longitude,geometry,kind,date,capacity,emissions,age,owner,fuel,maps,retirement
Munich North,Retiring,48.1812,11.6398,Point,plant,15/1/2020,365 MW,1.3,29,Stadtwerke München GmbH,Hard coal,"https://www.google.com/maps/@?api=1&map_action=map&center=48.1812000,11.6398000&zoom=16&basemap=satellite",202x
Voelklingen-Fenne model+heat,Open,49.2491,6.879,Point,plant,15/1/2020,466 MW,0.4,38,STEAG,Hard coal,"https://www.google.com/maps/@?api=1&map_action=map&center=49.2491000,6.8790000&zoom=16&basemap=satellite",0
Voerde,Retired,51.5762,6.6841,Point,plant,15/1/2020,0 MW,0,Retired at the age of 35,STEAG,Hard coal,"https://www.google.com/maps/@?api=1&map_action=map&center=51.5762000,6.6841000&zoom=16&basemap=satellite",2017
Voerde West,Retired,51.5785,6.6819,Point,plant,15/1/2020,0 MW,0,Retired at the age of 46,STEAG,Hard coal,"https://www.google.com/maps/@?api=1&map_action=map&center=51.5785000,6.6819000&zoom=16&basemap=satellite",2017
Frechen/Wachtberg,Open,50.8942,6.7911,Point,plant,15/1/2020,128 MW,1.3,61,RWE,Lignite,"https://www.google.com/maps/@?api=1&map_action=map&center=50.8942000,6.7911000&zoom=16&basemap=satellite",0
Walheim,Open,49.0177,9.1577,Point,plant,15/1/2020,267 MW,0,56,EnBW,Hard coal,"https://www.google.com/maps/@?api=1&map_action=map&center=49.0177000,9.1577000&zoom=16&basemap=satellite",0
Wedel,Open,53.5665,9.7257,Point,plant,15/1/2020,290 MW,1.2,59,Vattenfall,Hard coal,"https://www.google.com/maps/@?api=1&map_action=map&center=53.5665000,9.7257000&zoom=16&basemap=satellite",0
Werdohl-Elverlingsen,Retired,51.2754,7.7046,Point,plant,15/1/2020,0 MW,0.1,Retired at the age of 47,ENERVIE,Hard coal,"https://www.google.com/maps/@?api=1&map_action=map&center=51.2754000,7.7046000&zoom=16&basemap=satellite",2018
Werne Gersteinwerk,Retired,51.6734,7.708,Point,plant,15/1/2020,0 MW,0,Retired at the age of 35,RWE,Hard coal,"https://www.google.com/maps/@?api=1&map_action=map&center=51.6734000,7.7080000&zoom=16&basemap=satellite",2019
Wilhelmshaven,Open,53.565,8.1469,Point,plant,15/1/2020,788 MW,1.6,44,Uniper,Hard coal,"https://www.google.com/maps/@?api=1&map_action=map&center=53.5650000,8.1469000&zoom=16&basemap=satellite",0
